bisas, orig: bisas
bisat, orig: bisât
bisee, orig: bisée
biser, orig: biser
bises, orig: bises
bises, orig: bisés
biset, orig: biset
bisez, orig: bisez
bison, orig: bison
bisou, orig: bisou
bissa, orig: bissa
bisse, orig: bisse
bisse, orig: bissé
bitai, orig: bitai
bitas, orig: bitas
bitat, orig: bitât
bitee, orig: bitée
biter, orig: biter
bites, orig: bites
bites, orig: bités
bitez, orig: bitez
bitos, orig: bitos
bitta, orig: bitta
bitte, orig: bitte
bitte, orig: bitté
bizut, orig: bizut
black, orig: black
blair, orig: blair
blama, orig: blâma
blame, orig: blâme
blame, orig: blâmé
blanc, orig: blanc
blaps, orig: blaps
blasa, orig: blasa
blase, orig: blase
blase, orig: blasé
bleds, orig: bleds
bleme, orig: blême
blemi, orig: blêmi
blesa, orig: blésa
blese, orig: blésé
blese, orig: blèse
blets, orig: blets
bleue, orig: bleue
bleui, orig: bleui
bleus, orig: bleus
blocs, orig: blocs
blond, orig: blond
blues, orig: blues
bluet, orig: bluet
bluff, orig: bluff
bluta, orig: bluta
blute, orig: blute
blute, orig: bluté
bobos, orig: bobos
bocal, orig: bocal
boche, orig: boche
bocks, orig: bocks
boete, orig: boëte
boeuf, orig: boeuf
bogie, orig: bogie
bogue, orig: bogue
boira, orig: boira
boire, orig: boire
boisa, orig: boisa
boise, orig: boise
boise, orig: boisé
boita, orig: boita
boite, orig: boite
boite, orig: boité
boite, orig: boîte
boive, orig: boive
boldo, orig: boldo
bolee, orig: bolée
bolet, orig: bolet
bomba, orig: bomba
bombe, orig: bombe
bombe, orig: bombé
bomes, orig: bômes
bonda, orig: bonda
bonde, orig: bonde
bonde, orig: bondé
bondi, orig: bondi
bonds, orig: bonds
bonis, orig: bonis
bonne, orig: bonne
bonte, orig: bonté
bonus, orig: bonus
bonze, orig: bonze
booms, orig: booms
boots, orig: boots
boras, orig: boras
borax, orig: borax
borda, orig: borda
borde, orig: borde
borde, orig: bordé
bords, orig: bords
bores, orig: bores
borna, orig: borna
borne, orig: borne
borne, orig: borné
borts, orig: borts
bosco, orig: bosco
bossa, orig: bossa
bosse, orig: bosse
bosse, orig: bossé
bossu, orig: bossu
botes, orig: botes
botta, orig: botta
botte, orig: botte
botte, orig: botté
boucs, orig: boucs
bouda, orig: bouda
boude, orig: boude
boude, orig: boudé
bouee, orig: bouée
boues, orig: boues
bouge, orig: bouge
bouge, orig: bougé
bouif, orig: bouif
boula, orig: boula
boule, orig: boule
boule, orig: boulé
boume, orig: boume
boume, orig: boumé
bourg, orig: bourg
bouse, orig: bouse
bouta, orig: bouta
boute, orig: boute
boute, orig: bouté
bouts, orig: bouts
bovin, orig: bovin
boxai, orig: boxai
boxas, orig: boxas
boxat, orig: boxât
boxee, orig: boxée
boxer, orig: boxer
boxes, orig: boxes
boxes, orig: boxés
boxez, orig: boxez
boyau, orig: boyau
brada, orig: brada
brade, orig: brade
brade, orig: bradé
braie, orig: braie
brais, orig: brais
brait, orig: brait
brama, orig: brama
brame, orig: brame
brame, orig: bramé
brans, orig: brans
brasa, orig: brasa
brase, orig: brase
brase, orig: brasé
brava, orig: brava
brave, orig: brave
brave, orig: bravé
bravo, orig: bravo
braya, orig: braya
braye, orig: braye
braye, orig: brayé
break, orig: break
brefs, orig: brefs
brela, orig: bréla
brela, orig: brêla
brele, orig: brélé
brele, orig: brèle
brele, orig: brêle
brele, orig: brêlé
breme, orig: brème
breve, orig: brève
brick, orig: brick
brida, orig: brida
bride, orig: bride
bride, orig: bridé
bries, orig: bries
brifa, orig: brifa
brife, orig: brife
brife, orig: brifé
brima, orig: brima
brime, orig: brime
brime, orig: brimé
brins, orig: brins
brios, orig: brios
brisa, orig: brisa
brise, orig: brise
brise, orig: brisé
brocs, orig: brocs
broda, orig: broda
brode, orig: brode
brode, orig: brodé
broie, orig: broie
brome, orig: brome
brook, orig: brook
broum, orig: broum
brous, orig: brous
brout, orig: brout
broya, orig: broya
broye, orig: broyé
bruie, orig: bruie
bruir, orig: bruir
bruis, orig: bruis
bruit, orig: bruit
bruit, orig: bruît
brula, orig: brûla
brule, orig: brûle
brule, orig: brûlé
bruma, orig: bruma
brume, orig: brume
brume, orig: brumé
brune, orig: brune
bruni, orig: bruni
bruns, orig: bruns
brute, orig: brute
bruts, orig: bruts
bubon, orig: bubon
bucha, orig: bûcha
buche, orig: bûche
buche, orig: bûché
buees, orig: buées
buggy, orig: buggy
bugle, orig: bugle
buire, orig: buire
bulbe, orig: bulbe
bulle, orig: bulle
bumes, orig: bûmes
bures, orig: bures
burin, orig: burin
buron, orig: buron
buscs, orig: buscs
buses, orig: buses
busse, orig: busse
buste, orig: buste
butai, orig: butai
butas, orig: butas
butat, orig: butât
butee, orig: butée
buter, orig: buter
butes, orig: butes
butes, orig: butés
butes, orig: bûtes
butez, orig: butez
butin, orig: butin
butor, orig: butor
butta, orig: butta
butte, orig: butte
butte, orig: butté
buvee, orig: buvée
buvez, orig: buvez
caban, orig: caban
cabas, orig: cabas
cabla, orig: câbla
cable, orig: câble
cable, orig: câblé
cabot, orig: cabot
cabra, orig: cabra
